ID,Shloka,Translation,Time and Era,Celestial Objects/Mechanics,Ancient Astronomical Observations,Modern Scientific Understanding,Correlation Concepts,Cosmic Insights,NEP Correlation
1,"कार्ये ध्रुवाभ्यामिह खाङ्कभागे-
वृत्तं
तद्दिवाख्यत्तम् ।
खखापमांशैश्च ततो(१) बुरा-
वृत्तानि याम्योत्तरदिग्गतानि ॥ ३१० ॥","In the task of computing the celestial motion, here in the section of Khāṅkabhāga (the sine table), the circumference (of the Earth's orbit) is described. From there, one should calculate the epicycles of the planets along with their mean longitudes in the north direction",4th/5th Century CE,"Earth's Orbit, Planetary Epicycles",Methods of Celestial Motion Calculation,Precise Celestial Calculations,Historical Astronomy Development,Ancient Math in Astronomy,"This shloka aligns with the NEP 2023 emphasis on integrating mathematical concepts into astrophysics, promoting research that bridges geometry and celestial mechanics."
2,". ततोऽचभागैर्धुवचिह्नमूर्ध्वं याम्ये त्वधस्तत् परिकल्पनीयम् ।
   तत्कालकाभ्यां च तदन्तरस्थः प्रत्यक चलोऽन्यः प्रवहस्य गोलः ॥ ३०८ ॥","Then, the upper edge of the Dhruva circle is reached. Beyond it, one should imagine (the existence of) that which lies below it. At that time, the motion of the Earth and the motion of the Dhruva (Pole Star) remain distinct and separate.",4th/5th Century CE,"Celestial Sphere, Earth's Motion",Separation of Earth's Motion from Dhruva,Celestial Sphere and Earth's Rotation,Pole Star and Celestial Sphere,Celestial Navigation Reference,"This shloka correlates with the NEP 2023 focus on enhancing visualization techniques in astrophysics, emphasizing the significance of meridians and flow patterns in celestial bodies."
3,"तद्योग चिह्नान्नवतिप्रमांश- वृत्तं कृतं खचितिजं च तत् स्यात् ।
तद्याम्यसौम्ये चितिजैक्य के ये समाख्यसंज्ञौ भवतश्च सौम्ये ॥ ३०८ ॥","From the equator (i.e., celestial equator) to a distance of nine pramāṇas (a unit of measurement), the circle (vṛttam) is made on the celestial sphere. That (circle) is known as the celestial circle. It is called the equator in relation to the Earth. It is also the same as the celestial equator.",4th/5th Century CE,"Celestial Equator, Measurement Units",Celestial Coordinate Systems,Celestial Equator Concept,Terrestrial-Celestial Relationship,Coordinate Systems in Astronomy,"This shloka aligns with the NEP 2023 goal of promoting research in angular measurements in astrophysics, integrating mathematical concepts for precise celestial calculations."
4,"याम्योत्तरं प्रागुपरं च कोणा- भिर्धं च तद्वृत्तचतुष्कयोगौ ।
तयोश्च योऽस्त्यूर्ध्वगतस्तदूर्ध्वं खखस्तिकं चान्यदधः स्थितं च ॥ ३०७ ॥","In the northern direction, there are two angles: one is upward and the other is downward. They form the quadrilateral of the celestial sphere. Whatever is above (upward) is known as 'Khakha' (space), and whatever is below (downward) is situated as 'Tikam' (the abyss).",4th/5th Century CE,"Celestial Directions, Celestial Sphere",Concept of Celestial Sphere Divisions,Concept of Vertical Divisions,Ancient Celestial Sphere Concepts,Celestial Sphere Visualization,"This shloka correlates with the NEP 2023 focus on studying angular relationships and conjunctions in celestial bodies, promoting research on specific celestial regions like tikam."
5,"चलोऽन्योऽथ तदन्तश्च भगोलो भाश्रयस्तथा ।
कार्येा गणितशिल्पार्थं तत्त्वतैः सचमत्कृतः ॥ ३०६ ॥","Besides this, there is another sphere known as 'Bhāshraya' (the abode). It is also necessary for the purpose of computational mathematics. It should be understood in truth with its principles.",4th/5th Century CE,Bhāshraya Sphere as Reference,Concept of Multiple Spheres,Focus on Celestial Sphere,Multiple Reference Frames,Mathematical Precision in Astronomy,"This shloka correlates with NEP 2023's emphasis on integrating practical applications of mathematics in education, fostering interdisciplinary approaches."
6,"दृढधातुशलाकाभिः सूक्ष्माभिः खीयदेशजम् ।
   गोलं (१) तावत् स्थिरं कृत्वा तदन्तः प्रवहाभिधः ॥ ३०५ ॥","With firm rods and fine instruments, making it (the Earth) as the fixed sphere, the inner (parts) are known as the current (flow).",4th/5th Century CE,"Fixed Reference Sphere, Measurement Tools",Creation of Stable Reference Frame,Stable Reference Frame,Reference Frame Stability,Precise Measurements in Astronomy,"This shloka correlates with NEP 2023, advocating for the integration of advanced scientific instrumentation in education and research."
7,"दूरस्थित्याग्रहर्त्तानिलानां भूस्यैः सम्यग्गोलऋस्य स्थितिर्न ।
   हक्संसिद्धा बुध्यते तेन गोलं दृष्टान्ता धातुजं वरम्यथाहम् ॥ ३०४ ॥","The correct positioning of the distant and stationary stars, planets, and the Moon with respect to the Earth is achieved through the Earth's equator. By understanding this, one can observe the celestial sphere and its content.",4th/5th Century CE,Earth's Equator as Reference,Importance of Earth's Equator,Earth's Equator in Observations,Reference Frames in Astronomy,Earth's Equator for Celestial Observations,"This shloka correlates with NEP 2023, emphasizing an interdisciplinary approach that considers Earth's motion in science education."
8,"इहाथ तच्चुम्बकरोत्यभावा- दलीकसम्बन्धवशाद्ग्रहाणाम् ।
आकर्षणं चापमवृत्ततोऽत्र कथं भवेल्लोहमयं च सर्वम् ॥ ३०२ ॥","The absence of attraction between celestial bodies, due to the lack of magnetic relationships, is stated. How then can everything here be composed of iron?",4th/5th Century CE,"Absence of Attraction, Earth's Composition",Awareness of Celestial Mechanics,Lack of Magnetic Relationships,Early Gravitational Concepts,Questioning Earth's Composition,"This shloka correlates with NEP 2023, emphasizing the exploration of materials and their properties in science education."
9,खेचरास्तु न हि लोहजवृत्त- स्थाः सुदूरनिजमार्गगताश्च ॥ ३०१ ॥,"But the celestial bodies, being free from a spherical form, are not far away and do not follow a constant path.",4th/5th Century CE,"Non-Spherical Celestial Bodies, Unpredictable Paths",Understanding of Celestial Bodies,Non-Spherical Celestial Bodies,Celestial Bodies' Characteristics,Early Celestial Body Perceptions,This shloka correlates with NEP 2023 promotes debunking myths and fostering scientific reasoning in education.
10,"कदम्बकाभ्यां खचरर्क्ष गोल- भ्रमेण तद्गतखण्डवायोः । 
गोलास्तु किं तद्दशतो न तद्दद्- गच्छन्ति पूर्वी स्वगतिं विहाय ॥ २६८ ॥","Through the rotation of the Earth and the celestial sphere, the stars in the region of Kadamba and Karkaṭa (Cancer) do not return to their previous positions.",4th/5th Century CE,"Stars' Motion, Earth's Rotation",Stars' Motion Due to Earth's Rotation,Apparent Star Motion,Stars' Motion in Celestial Sphere,Understanding Star Motion in the Sky,This shloka correlates with NEP 2023's emphasis on fostering a deep understanding of celestial mechanics in science education.
